RT_NM,STP_NM,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at Islington Ave,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Helen Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Pine Valley Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Ansley Grove Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Weston Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Commerce Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Vaughan Metropolitan Centre Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Smart VMC Terminal - Route 501 Zum Queen WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Smart VMC Terminal - Route 501 Zum Queen WB,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Vaughan Metropolitan Centre Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Commerce Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Weston Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Ansley Grove Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Pine Valley Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at (WB) Helen Station,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at Islington Ave,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 w/of Kipling Ave,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 at Martin Grove Rd,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Hwy 7 e/of Hwy 27,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
