ROUTE_ID,TRIP_ID,AVG_DIR,V_ID,TRIP_SPD,HOUR
1-345,23932826-240429-MULTI-Saturday-01,236,2212,21.12,00
1-345,23932827-240429-MULTI-Saturday-01,194,814,24.36,00
1-345,23932828-240429-MULTI-Saturday-01,210,813,25.4,00
1-345,23932830-240429-MULTI-Saturday-01,80,813,30.5,01
1-345,23932831-240429-MULTI-Saturday-01,206,1108,37.3,01
1-345,23932835-240429-MULTI-Saturday-01,108,1108,28.92,00
1-345,23932837-240429-MULTI-Saturday-01,52,813,25.81,00
1-345,23932838-240429-MULTI-Saturday-01,75,2212,27.42,00
1-345,23932839-240429-MULTI-Saturday-01,101,814,48.5,01
1-345,23932853-240429-MULTI-Saturday-01,194,1108,20.55,00
1-345,23934613-240429-MULTI-Sunday-01,88,2214,21.5,06
1-345,23934616-240429-MULTI-Sunday-01,66,619,26.02,06
1-345,23934617-240429-MULTI-Sunday-01,95,1130,20.48,07
1-345,23934618-240429-MULTI-Sunday-01,114,805,19.75,07
1-345,23934619-240429-MULTI-Sunday-01,104,623,19.08,08
1-345,23934620-240429-MULTI-Sunday-01,63,916,20.14,08
1-345,23934621-240429-MULTI-Sunday-01,80,1612,20.6,09
1-345,23934622-240429-MULTI-Sunday-01,77,2214,21.38,09
1-345,23934623-240429-MULTI-Sunday-01,79,1130,21.58,10
1-345,23934624-240429-MULTI-Sunday-01,75,805,20.56,10
1-345,23934625-240429-MULTI-Sunday-01,79,623,19.19,11
1-345,23934626-240429-MULTI-Sunday-01,51,916,18.92,11
1-345,23934628-240429-MULTI-Sunday-01,71,2214,18.53,12
1-345,23934629-240429-MULTI-Sunday-01,85,1130,17.39,13
1-345,23934630-240429-MULTI-Sunday-01,82,623,18.4,14
1-345,23934631-240429-MULTI-Sunday-01,80,2214,18.08,16
1-345,23934632-240429-MULTI-Sunday-01,84,805,17.86,13
1-345,23934633-240429-MULTI-Sunday-01,76,916,21.73,14
1-345,23934634-240429-MULTI-Sunday-01,81,1612,19.69,15
1-345,23934635-240429-MULTI-Sunday-01,81,1130,18.67,16
1-345,23934636-240429-MULTI-Sunday-01,92,1612,18.95,18
1-345,23934637-240429-MULTI-Sunday-01,87,805,18.98,16
1-345,23934638-240429-MULTI-Sunday-01,91,623,19.0,17
1-345,23934639-240429-MULTI-Sunday-01,73,916,20.27,17
1-345,23934640-240429-MULTI-Sunday-01,82,2214,21.98,18
1-345,23934641-240429-MULTI-Sunday-01,83,1130,20.94,19
1-345,23934642-240429-MULTI-Sunday-01,84,805,20.52,19
1-345,23934643-240429-MULTI-Sunday-01,87,623,21.53,20
1-345,23934644-240429-MULTI-Sunday-01,58,916,22.48,20
1-345,23934645-240429-MULTI-Sunday-01,85,1612,21.53,21
1-345,23934646-240429-MULTI-Sunday-01,100,2214,21.97,21
1-345,23934647-240429-MULTI-Sunday-01,84,1130,25.3,22
1-345,23934648-240429-MULTI-Sunday-01,186,1612,21.08,07
1-345,23934649-240429-MULTI-Sunday-01,215,2214,15.68,08
1-345,23934650-240429-MULTI-Sunday-01,221,1130,22.03,08
1-345,23934651-240429-MULTI-Sunday-01,214,805,22.77,09
1-345,23934652-240429-MULTI-Sunday-01,223,623,25.5,09
1-345,23934653-240429-MULTI-Sunday-01,227,916,24.31,10
1-345,23934654-240429-MULTI-Sunday-01,207,1612,21.16,10
1-345,23934655-240429-MULTI-Sunday-01,217,2214,20.56,11
1-345,23934656-240429-MULTI-Sunday-01,213,1130,21.23,11
1-345,23934657-240429-MULTI-Sunday-01,211,805,20.19,12
1-345,23934658-240429-MULTI-Sunday-01,197,623,15.57,12
1-345,23934659-240429-MULTI-Sunday-01,231,916,18.95,13
1-345,23934660-240429-MULTI-Sunday-01,216,805,18.3,15
1-345,23934661-240429-MULTI-Sunday-01,171,1612,21.25,14
1-345,23934662-240429-MULTI-Sunday-01,219,2214,23.17,14
1-345,23934663-240429-MULTI-Sunday-01,223,1130,20.06,14
1-345,23934664-240429-MULTI-Sunday-01,234,623,20.08,15
1-345,23934665-240429-MULTI-Sunday-01,211,916,19.56,16
1-345,23934666-240429-MULTI-Sunday-01,208,1612,19.84,16
1-345,23934667-240429-MULTI-Sunday-01,218,2214,18.23,17
1-345,23934668-240429-MULTI-Sunday-01,205,1130,19.16,17
1-345,23934669-240429-MULTI-Sunday-01,232,1612,22.33,19
1-345,23934670-240429-MULTI-Sunday-01,234,805,22.48,21
1-345,23934671-240429-MULTI-Sunday-01,237,805,20.05,18
1-345,23934672-240429-MULTI-Sunday-01,217,623,20.62,18
1-345,23934673-240429-MULTI-Sunday-01,226,916,19.94,19
1-345,23934674-240429-MULTI-Sunday-01,207,916,20.02,22
1-345,23934675-240429-MULTI-Sunday-01,217,2214,19.16,20
1-345,23934676-240429-MULTI-Sunday-01,218,1130,15.47,20
1-345,23934677-240429-MULTI-Sunday-01,212,623,20.73,21
1-345,23934678-240429-MULTI-Sunday-01,209,1612,22.55,22
1-345,23934679-240429-MULTI-Sunday-01,198,2214,23.75,23
1-345,23934680-240429-MULTI-Sunday-01,225,1130,32.56,23
1-345,23934682-240429-MULTI-Sunday-01,220,623,20.56,06
1-345,23934683-240429-MULTI-Sunday-01,218,619,23.38,07
1-345,23934683-240429-MULTI-Sunday-01,218,916,24.33,07
1-345,23934764-240429-MULTI-Sunday-01,96,916,56.53,23
1-345,23934968-240429-MULTI-Sunday-01,90,805,26.14,22
1-345,23934969-240429-MULTI-Sunday-01,103,623,24.72,23
1-345,23935513-240429-MULTI-Sunday-01,103,623,23.1,05
1-345,23935514-240429-MULTI-Sunday-01,211,1130,23.14,05
11-345,23932142-240429-MULTI-Saturday-01,165,1619,32.0,00
11-345,23932147-240429-MULTI-Saturday-01,220,2214,25.22,00
11-345,23932148-240429-MULTI-Saturday-01,215,1126,26.66,00
11-345,23932149-240429-MULTI-Saturday-01,229,1619,22.22,00
11-345,23933669-240429-MULTI-Saturday-01,76,1613,23.11,00
11-345,23935801-240429-MULTI-Sunday-01,71,1622,27.9,07
11-345,23935805-240429-MULTI-Sunday-01,49,2224,30.34,12
11-345,23935806-240429-MULTI-Sunday-01,141,2220,27.53,06
11-345,23935807-240429-MULTI-Sunday-01,143,2220,27.86,08
11-345,23935808-240429-MULTI-Sunday-01,120,2220,25.17,10
11-345,23935809-240429-MULTI-Sunday-01,118,2220,26.23,12
11-345,23935810-240429-MULTI-Sunday-01,245,2220,24.31,07
11-345,23935811-240429-MULTI-Sunday-01,230,2220,23.52,11
11-345,23935812-240429-MULTI-Sunday-01,116,814,26.69,07
11-345,23935813-240429-MULTI-Sunday-01,157,2220,16.69,09
11-345,23935814-240429-MULTI-Sunday-01,212,814,22.67,11
11-345,23935815-240429-MULTI-Sunday-01,114,814,25.39,09
11-345,23935816-240429-MULTI-Sunday-01,100,814,22.02,12
11-345,23935817-240429-MULTI-Sunday-01,196,814,24.92,08
11-345,23935821-240429-MULTI-Sunday-01,84,913,27.16,06
11-345,23935822-240429-MULTI-Sunday-01,228,2220,21.36,13
11-345,23935823-240429-MULTI-Sunday-01,120,913,27.38,08
11-345,23935824-240429-MULTI-Sunday-01,203,913,25.64,10
11-345,23935825-240429-MULTI-Sunday-01,226,913,26.73,07
11-345,23935826-240429-MULTI-Sunday-01,94,913,22.38,11
11-345,23935827-240429-MULTI-Sunday-01,237,913,30.5,12
11-345,23935828-240429-MULTI-Sunday-01,228,814,23.38,13
11-345,23935830-240429-MULTI-Sunday-01,212,2224,15.82,13
11-345,23935832-240429-MULTI-Sunday-01,101,1513,26.25,05
11-345,23935833-240429-MULTI-Sunday-01,83,1513,27.38,09
11-345,23935835-240429-MULTI-Sunday-01,126,1513,31.22,07
11-345,23935837-240429-MULTI-Sunday-01,110,2220,26.05,14
11-345,23935838-240429-MULTI-Sunday-01,30,2218,44.62,06
11-345,23935839-240429-MULTI-Sunday-01,228,1513,28.77,07
11-345,23935842-240429-MULTI-Sunday-01,145,1513,27.06,08
11-345,23935845-240429-MULTI-Sunday-01,214,2220,21.73,15
11-345,23935846-240429-MULTI-Sunday-01,75,2222,22.03,14
11-345,23935847-240429-MULTI-Sunday-01,121,814,23.7,15
11-345,23935853-240429-MULTI-Sunday-01,121,821,25.44,05
11-345,23935856-240429-MULTI-Sunday-01,123,821,26.34,07
11-345,23935857-240429-MULTI-Sunday-01,105,2220,25.61,16
11-345,23935858-240429-MULTI-Sunday-01,197,821,20.48,09
11-345,23935859-240429-MULTI-Sunday-01,210,2222,21.83,15
11-345,23935860-240429-MULTI-Sunday-01,110,821,23.5,16
11-345,23935861-240429-MULTI-Sunday-01,84,821,24.81,10
11-345,23935862-240429-MULTI-Sunday-01,212,821,19.33,06
11-345,23935863-240429-MULTI-Sunday-01,214,821,22.92,11
11-345,23935864-240429-MULTI-Sunday-01,82,821,20.22,13
11-345,23935865-240429-MULTI-Sunday-01,214,821,20.3,14
11-345,23935867-240429-MULTI-Sunday-01,110,2221,24.23,15
11-345,23935868-240429-MULTI-Sunday-01,205,2220,21.84,17
11-345,23935870-240429-MULTI-Sunday-01,198,821,24.94,17
11-345,23935871-240429-MULTI-Sunday-01,108,2222,20.8,17
11-345,23935872-240429-MULTI-Sunday-01,205,814,19.44,16
11-345,23935873-240429-MULTI-Sunday-01,216,1310,25.1,17
11-345,23935877-240429-MULTI-Sunday-01,214,2224,20.25,17
11-345,23935879-240429-MULTI-Sunday-01,217,2221,20.55,17
11-345,23935880-240429-MULTI-Sunday-01,217,1307,21.72,18
11-345,23935881-240429-MULTI-Sunday-01,77,2221,25.38,18
11-345,23935882-240429-MULTI-Sunday-01,190,2220,27.4,18
11-345,23935883-240429-MULTI-Sunday-01,146,2220,27.78,17
11-345,23935885-240429-MULTI-Sunday-01,105,814,23.73,18
11-345,23935886-240429-MULTI-Sunday-01,79,821,28.6,19
11-345,23935887-240429-MULTI-Sunday-01,217,2222,21.48,18
11-345,23935888-240429-MULTI-Sunday-01,229,1122,21.69,18
11-345,23935889-240429-MULTI-Sunday-01,37,2224,24.77,18
11-345,23935892-240429-MULTI-Sunday-01,131,2220,27.31,19
11-345,23935893-240429-MULTI-Sunday-01,92,2222,24.19,19
11-345,23935894-240429-MULTI-Sunday-01,215,814,22.66,19
11-345,23935900-240429-MULTI-Sunday-01,230,2222,24.2,21
11-345,23935903-240429-MULTI-Sunday-01,207,2220,26.31,20
11-345,23935904-240429-MULTI-Sunday-01,90,814,23.47,20
11-345,23935905-240429-MULTI-Sunday-01,212,1610,22.89,22
11-345,23935906-240429-MULTI-Sunday-01,114,2222,27.45,21
11-345,23935907-240429-MULTI-Sunday-01,227,814,22.66,22
11-345,23935908-240429-MULTI-Sunday-01,119,2220,27.17,21
11-345,23935909-240429-MULTI-Sunday-01,209,2222,21.5,22
11-345,23935910-240429-MULTI-Sunday-01,232,2220,24.56,23
11-345,23935911-240429-MULTI-Sunday-01,110,814,27.11,22
11-345,23935913-240429-MULTI-Sunday-01,235,814,25.0,23
11-345,23935917-240429-MULTI-Sunday-01,135,2222,31.06,23
11-345,23936375-240429-MULTI-Sunday-01,82,2020,24.75,07
11-345,23936760-240429-MULTI-Sunday-01,232,1517,25.55,22
11-345,23936832-240429-MULTI-Sunday-01,71,1610,27.78,23
115-345,23932209-240429-MULTI-Saturday-01,249,1515,32.62,00
115-345,23935920-240429-MULTI-Sunday-01,250,1111,32.34,08
115-345,23935921-240429-MULTI-Sunday-01,283,1111,31.02,07
115-345,23935922-240429-MULTI-Sunday-01,276,1111,27.72,09
115-345,23935923-240429-MULTI-Sunday-01,226,1111,28.89,11
115-345,23935924-240429-MULTI-Sunday-01,247,1111,27.66,12
115-345,23935925-240429-MULTI-Sunday-01,124,1111,30.64,07
115-345,23935926-240429-MULTI-Sunday-01,125,1111,31.16,08
115-345,23935927-240429-MULTI-Sunday-01,124,1111,26.89,10
115-345,23935928-240429-MULTI-Sunday-01,114,1111,30.39,09
