ROUTE_ID,TRIP_ID,AVG_DIR,V_ID,TRIP_SPD,HOUR
1-345,23926309-240429-MULTI-Weekday-01,204,624,27.19,00
1-345,23926310-240429-MULTI-Weekday-01,193,814,21.62,00
1-345,23926311-240429-MULTI-Weekday-01,204,1108,21.55,00
1-345,23926312-240429-MULTI-Weekday-01,208,1118,20.22,00
1-345,23926313-240429-MULTI-Weekday-01,199,1402,18.28,00
1-345,23926314-240429-MULTI-Weekday-01,202,624,21.06,01
1-345,23926315-240429-MULTI-Weekday-01,212,814,21.97,01
1-345,23926316-240429-MULTI-Weekday-01,79,1118,28.84,00
1-345,23926317-240429-MULTI-Weekday-01,98,814,26.2,00
1-345,23926319-240429-MULTI-Weekday-01,73,1402,23.3,00
1-345,23926320-240429-MULTI-Weekday-01,92,624,22.48,00
1-345,23926322-240429-MULTI-Weekday-01,74,1118,25.39,01
1-345,23926323-240429-MULTI-Weekday-01,159,1108,27.23,01
1-345,23926324-240429-MULTI-Weekday-01,190,1409,17.52,00
11-345,23925050-240429-MULTI-Weekday-01,207,616,22.33,00
11-345,23925061-240429-MULTI-Weekday-01,118,604,26.4,00
11-345,23925063-240429-MULTI-Weekday-01,182,606,9.87,00
11-345,23925065-240429-MULTI-Weekday-01,226,616,25.45,00
11-345,23925069-240429-MULTI-Weekday-01,231,604,29.19,01
11-345,23925070-240429-MULTI-Weekday-01,213,1127,35.56,00
11-345,23927891-240429-MULTI-Weekday-01,84,606,24.58,00
115-345,23925135-240429-MULTI-Weekday-01,247,908,28.0,00
115-345,23925137-240429-MULTI-Weekday-01,124,908,40.9,00
115-345,23925138-240429-MULTI-Weekday-01,119,1911,35.0,00
115-345,23925139-240429-MULTI-Weekday-01,258,1911,37.75,00
115-345,23925140-240429-MULTI-Weekday-01,144,908,31.34,00
115-345,23925141-240429-MULTI-Weekday-01,252,908,39.22,01
14-345,23926465-240429-MULTI-Weekday-01,271,2224,21.52,00
14-345,23926476-240429-MULTI-Weekday-01,87,805,26.16,00
14-345,23926489-240429-MULTI-Weekday-01,258,2224,27.53,01
14-345,23926490-240429-MULTI-Weekday-01,126,2224,25.02,00
14-345,23926493-240429-MULTI-Weekday-01,269,815,28.4,00
14-345,23926494-240429-MULTI-Weekday-01,278,805,27.9,00
14-345,23926626-240429-MULTI-Weekday-01,281,2214,29.94,00
