ROUTE_ID,TRIP_ID,AVG_DIR,V_ID,TRIP_SPD,HOUR
1-345,23925487-240429-MULTI-Weekday-01,111,2215,15.68,07
1-345,23925488-240429-MULTI-Weekday-01,105,1702,16.14,06
1-345,23925489-240429-MULTI-Weekday-01,176,818,5.42,07
1-345,23925490-240429-MULTI-Weekday-01,97,1518,15.24,06
1-345,23925491-240429-MULTI-Weekday-01,203,820,15.72,07
1-345,23925492-240429-MULTI-Weekday-01,126,820,18.64,05
1-345,23925493-240429-MULTI-Weekday-01,69,1105,26.14,04
1-345,23925494-240429-MULTI-Weekday-01,85,1109,23.31,04
1-345,23925495-240429-MULTI-Weekday-01,212,823,17.1,04
1-345,23925496-240429-MULTI-Weekday-01,88,1704,25.36,04
1-345,23925497-240429-MULTI-Weekday-01,200,2213,20.95,04
1-345,23925498-240429-MULTI-Weekday-01,93,2213,22.28,05
1-345,23925499-240429-MULTI-Weekday-01,92,823,21.62,04
1-345,23925500-240429-MULTI-Weekday-01,76,1310,20.27,05
1-345,23925501-240429-MULTI-Weekday-01,56,1310,30.28,03
1-345,23925502-240429-MULTI-Weekday-01,196,1310,20.73,04
1-345,23925503-240429-MULTI-Weekday-01,207,619,19.34,04
1-345,23925504-240429-MULTI-Weekday-01,97,619,22.05,03
1-345,23926160-240429-MULTI-Weekday-01,78,1704,16.9,07
1-345,23926161-240429-MULTI-Weekday-01,73,2213,16.61,08
1-345,23926162-240429-MULTI-Weekday-01,69,1310,17.2,08
1-345,23926163-240429-MULTI-Weekday-01,75,619,18.38,09
1-345,23926164-240429-MULTI-Weekday-01,186,1704,20.56,06
1-345,23926165-240429-MULTI-Weekday-01,212,625,21.44,05
1-345,23926166-240429-MULTI-Weekday-01,179,1109,18.9,05
1-345,23926167-240429-MULTI-Weekday-01,209,1105,19.45,05
1-345,23926168-240429-MULTI-Weekday-01,207,1102,19.02,07
1-345,23926169-240429-MULTI-Weekday-01,219,1109,33.25,08
1-345,23926170-240429-MULTI-Weekday-01,216,619,17.9,07
1-345,23926171-240429-MULTI-Weekday-01,217,1310,18.53,06
1-345,23926172-240429-MULTI-Weekday-01,192,2213,15.984,06
1-345,23926173-240429-MULTI-Weekday-01,72,1105,18.7,07
1-345,23926174-240429-MULTI-Weekday-01,109,1102,20.14,06
1-345,23926175-240429-MULTI-Weekday-01,197,823,18.27,07
1-345,23926176-240429-MULTI-Weekday-01,85,619,21.88,06
1-345,23926177-240429-MULTI-Weekday-01,69,823,20.14,06
1-345,23926178-240429-MULTI-Weekday-01,199,1105,19.11,08
1-345,23926179-240429-MULTI-Weekday-01,89,1109,24.02,06
1-345,23926180-240429-MULTI-Weekday-01,77,625,18.14,07
1-345,23926181-240429-MULTI-Weekday-01,201,1518,16.92,07
1-345,23926182-240429-MULTI-Weekday-01,221,1702,15.04,07
1-345,23926183-240429-MULTI-Weekday-01,212,2215,14.195,08
1-345,23926185-240429-MULTI-Weekday-01,178,818,13.055,08
1-345,23926186-240429-MULTI-Weekday-01,213,820,13.19,08
1-345,23926187-240429-MULTI-Weekday-01,79,805,15.125,07
1-345,23926188-240429-MULTI-Weekday-01,124,1702,16.89,08
1-345,23926189-240429-MULTI-Weekday-01,82,818,16.44,07
1-345,23926190-240429-MULTI-Weekday-01,90,820,18.16,08
1-345,23926191-240429-MULTI-Weekday-01,73,1518,14.26,08
1-345,23926192-240429-MULTI-Weekday-01,196,625,17.86,09
1-345,23926193-240429-MULTI-Weekday-01,196,619,19.2,10
1-345,23926194-240429-MULTI-Weekday-01,77,2215,14.086,09
1-345,23926195-240429-MULTI-Weekday-01,224,1704,21.12,09
1-345,23926196-240429-MULTI-Weekday-01,193,2213,20.61,09
1-345,23926197-240429-MULTI-Weekday-01,217,823,20.64,10
1-345,23926198-240429-MULTI-Weekday-01,213,1109,17.03,11
1-345,23926199-240429-MULTI-Weekday-01,203,625,18.22,11
1-345,23926200-240429-MULTI-Weekday-01,210,2222,17.39,13
1-345,23926201-240429-MULTI-Weekday-01,207,2213,17.03,12
1-345,23926202-240429-MULTI-Weekday-01,208,619,18.03,13
1-345,23926203-240429-MULTI-Weekday-01,212,823,16.38,14
1-345,23926204-240429-MULTI-Weekday-01,229,1109,18.4,14
1-345,23926205-240429-MULTI-Weekday-01,210,625,15.31,14
1-345,23926206-240429-MULTI-Weekday-01,75,823,17.0,09
1-345,23926207-240429-MULTI-Weekday-01,84,1109,17.17,10
1-345,23926208-240429-MULTI-Weekday-01,73,625,17.77,10
1-345,23926210-240429-MULTI-Weekday-01,73,2213,18.0,11
1-345,23926211-240429-MULTI-Weekday-01,77,619,16.66,11
1-345,23926212-240429-MULTI-Weekday-01,79,2222,16.8,14
1-345,23926213-240429-MULTI-Weekday-01,82,823,15.234,12
1-345,23926214-240429-MULTI-Weekday-01,83,1109,14.01,13
1-345,23926215-240429-MULTI-Weekday-01,82,625,16.64,13
1-345,23926216-240429-MULTI-Weekday-01,79,2213,15.33,14
1-345,23926217-240429-MULTI-Weekday-01,73,619,14.14,14
1-345,23926218-240429-MULTI-Weekday-01,208,1518,7.793,09
1-345,23926219-240429-MULTI-Weekday-01,215,1702,13.62,09
1-345,23926220-240429-MULTI-Weekday-01,231,805,18.9,11
1-345,23926222-240429-MULTI-Weekday-01,212,1518,12.92,11
1-345,23926223-240429-MULTI-Weekday-01,185,1702,9.53,12
1-345,23926224-240429-MULTI-Weekday-01,207,805,15.15,12
1-345,23926225-240429-MULTI-Weekday-01,204,911,14.055,12
1-345,23926227-240429-MULTI-Weekday-01,207,1518,15.61,13
1-345,23926228-240429-MULTI-Weekday-01,222,1702,15.96,14
1-345,23926229-240429-MULTI-Weekday-01,227,805,12.32,14
1-345,23926230-240429-MULTI-Weekday-01,92,818,15.51,09
1-345,23926231-240429-MULTI-Weekday-01,81,1518,15.19,10
1-345,23926232-240429-MULTI-Weekday-01,89,1702,16.27,11
1-345,23926233-240429-MULTI-Weekday-01,89,805,15.28,11
1-345,23926234-240429-MULTI-Weekday-01,97,911,18.86,12
1-345,23926235-240429-MULTI-Weekday-01,83,1518,14.45,12
1-345,23926236-240429-MULTI-Weekday-01,96,1702,15.375,13
1-345,23926237-240429-MULTI-Weekday-01,73,805,13.36,13
1-345,23926238-240429-MULTI-Weekday-01,83,911,15.22,14
1-345,23926238-240429-MULTI-Weekday-01,83,2214,14.98,14
1-345,23926239-240429-MULTI-Weekday-01,105,1518,16.52,14
1-345,23926240-240429-MULTI-Weekday-01,88,1702,14.56,14
1-345,23926241-240429-MULTI-Weekday-01,82,1126,16.84,15
1-345,23926242-240429-MULTI-Weekday-01,56,823,14.71,15
1-345,23926243-240429-MULTI-Weekday-01,81,1513,15.32,15
1-345,23926244-240429-MULTI-Weekday-01,79,1109,16.66,16
1-345,23926245-240429-MULTI-Weekday-01,91,625,16.77,16
1-345,23926246-240429-MULTI-Weekday-01,72,821,21.08,17
1-345,23926247-240429-MULTI-Weekday-01,88,2222,16.23,17
1-345,23926248-240429-MULTI-Weekday-01,84,2213,18.28,17
1-345,23926249-240429-MULTI-Weekday-01,75,819,18.25,18
1-345,23926250-240429-MULTI-Weekday-01,82,619,17.27,18
1-345,23926251-240429-MULTI-Weekday-01,105,1126,20.27,19
1-345,23926253-240429-MULTI-Weekday-01,75,1513,18.44,19
1-345,23926254-240429-MULTI-Weekday-01,77,1109,20.75,19
1-345,23926255-240429-MULTI-Weekday-01,86,625,19.64,19
1-345,23926256-240429-MULTI-Weekday-01,86,1119,21.34,20
1-345,23926257-240429-MULTI-Weekday-01,82,2222,19.08,20
1-345,23926258-240429-MULTI-Weekday-01,75,2213,21.61,21
1-345,23926259-240429-MULTI-Weekday-01,87,619,21.08,21
1-345,23926259-240429-MULTI-Weekday-01,87,1156,20.38,22
1-345,23926260-240429-MULTI-Weekday-01,89,1126,20.8,21
1-345,23926261-240429-MULTI-Weekday-01,98,1513,21.08,22
