ROUTE_ID,TRIP_ID,AVG_DIR,V_ID,TRIP_SPD,HOUR
1-345,23925487-240429-MULTI-Weekday-01,75,1707,16.36,07
1-345,23925488-240429-MULTI-Weekday-01,88,604,15.38,06
1-345,23925489-240429-MULTI-Weekday-01,210,1513,14.52,06
1-345,23925490-240429-MULTI-Weekday-01,90,1109,14.47,06
1-345,23925491-240429-MULTI-Weekday-01,197,621,13.37,07
1-345,23925492-240429-MULTI-Weekday-01,118,621,17.95,06
1-345,23925493-240429-MULTI-Weekday-01,56,1709,22.19,04
1-345,23925494-240429-MULTI-Weekday-01,108,2220,19.69,04
1-345,23925495-240429-MULTI-Weekday-01,220,1127,16.67,04
1-345,23925496-240429-MULTI-Weekday-01,70,1118,22.03,04
1-345,23925497-240429-MULTI-Weekday-01,191,1613,21.69,04
1-345,23925498-240429-MULTI-Weekday-01,90,1613,22.34,05
1-345,23925499-240429-MULTI-Weekday-01,79,1127,23.62,04
1-345,23925500-240429-MULTI-Weekday-01,85,1304,19.47,06
1-345,23925501-240429-MULTI-Weekday-01,94,1304,31.73,03
1-345,23925502-240429-MULTI-Weekday-01,199,1304,20.5,04
1-345,23925503-240429-MULTI-Weekday-01,197,2210,15.15,04
1-345,23925504-240429-MULTI-Weekday-01,79,2210,23.1,03
1-345,23926160-240429-MULTI-Weekday-01,79,1118,16.44,07
1-345,23926161-240429-MULTI-Weekday-01,84,1613,16.97,08
1-345,23926162-240429-MULTI-Weekday-01,75,1304,19.0,08
1-345,23926163-240429-MULTI-Weekday-01,68,2210,19.06,09
1-345,23926164-240429-MULTI-Weekday-01,201,1118,15.23,06
1-345,23926165-240429-MULTI-Weekday-01,223,1706,18.1,06
1-345,23926166-240429-MULTI-Weekday-01,241,2220,21.69,05
1-345,23926167-240429-MULTI-Weekday-01,184,1709,14.78,06
1-345,23926168-240429-MULTI-Weekday-01,209,826,18.84,07
1-345,23926169-240429-MULTI-Weekday-01,217,2220,17.02,08
1-345,23926170-240429-MULTI-Weekday-01,208,2210,15.734,07
1-345,23926171-240429-MULTI-Weekday-01,197,1304,16.1,06
1-345,23926172-240429-MULTI-Weekday-01,207,1613,21.4,06
1-345,23926173-240429-MULTI-Weekday-01,99,1709,19.14,07
1-345,23926174-240429-MULTI-Weekday-01,115,826,17.25,06
1-345,23926175-240429-MULTI-Weekday-01,198,1127,19.33,08
1-345,23926176-240429-MULTI-Weekday-01,80,2210,14.945,06
1-345,23926177-240429-MULTI-Weekday-01,77,1127,20.14,06
1-345,23926178-240429-MULTI-Weekday-01,207,1709,18.39,08
1-345,23926179-240429-MULTI-Weekday-01,46,2220,22.17,06
1-345,23926180-240429-MULTI-Weekday-01,70,1706,17.05,07
1-345,23926181-240429-MULTI-Weekday-01,207,1109,17.22,07
1-345,23926182-240429-MULTI-Weekday-01,207,604,20.28,07
1-345,23926183-240429-MULTI-Weekday-01,212,1707,14.055,08
1-345,23926184-240429-MULTI-Weekday-01,193,610,15.39,08
1-345,23926185-240429-MULTI-Weekday-01,191,1513,13.234,08
1-345,23926186-240429-MULTI-Weekday-01,205,621,13.38,09
1-345,23926187-240429-MULTI-Weekday-01,101,610,14.25,07
1-345,23926188-240429-MULTI-Weekday-01,104,604,15.66,08
1-345,23926189-240429-MULTI-Weekday-01,83,1513,18.22,07
1-345,23926190-240429-MULTI-Weekday-01,75,621,16.17,07
1-345,23926192-240429-MULTI-Weekday-01,213,1706,20.08,09
1-345,23926193-240429-MULTI-Weekday-01,204,2210,16.2,10
1-345,23926194-240429-MULTI-Weekday-01,75,1707,16.48,09
1-345,23926195-240429-MULTI-Weekday-01,201,1118,19.03,09
1-345,23926196-240429-MULTI-Weekday-01,196,1613,18.88,09
1-345,23926197-240429-MULTI-Weekday-01,194,1127,26.3,11
1-345,23926198-240429-MULTI-Weekday-01,213,2220,14.2,11
1-345,23926199-240429-MULTI-Weekday-01,216,1706,13.695,12
1-345,23926200-240429-MULTI-Weekday-01,212,1118,23.05,12
1-345,23926201-240429-MULTI-Weekday-01,220,1511,15.125,13
1-345,23926201-240429-MULTI-Weekday-01,220,1613,18.12,12
1-345,23926202-240429-MULTI-Weekday-01,213,2210,18.1,13
1-345,23926203-240429-MULTI-Weekday-01,212,1127,15.05,14
1-345,23926204-240429-MULTI-Weekday-01,209,2220,17.97,14
1-345,23926205-240429-MULTI-Weekday-01,214,1706,16.08,14
1-345,23926206-240429-MULTI-Weekday-01,76,1127,17.28,09
1-345,23926207-240429-MULTI-Weekday-01,79,2220,15.69,09
1-345,23926208-240429-MULTI-Weekday-01,56,1706,19.61,11
1-345,23926209-240429-MULTI-Weekday-01,68,1118,17.34,10
1-345,23926210-240429-MULTI-Weekday-01,77,1613,17.58,11
1-345,23926211-240429-MULTI-Weekday-01,74,2210,13.6,12
1-345,23926212-240429-MULTI-Weekday-01,82,1118,16.86,13
1-345,23926213-240429-MULTI-Weekday-01,72,1127,19.11,12
1-345,23926214-240429-MULTI-Weekday-01,79,2220,14.555,13
1-345,23926215-240429-MULTI-Weekday-01,85,1706,16.27,13
1-345,23926216-240429-MULTI-Weekday-01,73,1402,14.586,15
1-345,23926216-240429-MULTI-Weekday-01,73,1511,15.72,14
1-345,23926217-240429-MULTI-Weekday-01,80,2210,20.92,14
1-345,23926218-240429-MULTI-Weekday-01,212,1109,17.16,09
1-345,23926219-240429-MULTI-Weekday-01,214,604,14.97,09
1-345,23926220-240429-MULTI-Weekday-01,217,610,12.234,10
1-345,23926222-240429-MULTI-Weekday-01,213,1109,10.45,11
1-345,23926224-240429-MULTI-Weekday-01,207,610,16.22,12
1-345,23926226-240429-MULTI-Weekday-01,101,610,14.66,09
1-345,23926227-240429-MULTI-Weekday-01,204,1109,15.49,13
1-345,23926229-240429-MULTI-Weekday-01,204,1129,12.805,14
1-345,23926230-240429-MULTI-Weekday-01,101,1513,14.66,09
1-345,23926231-240429-MULTI-Weekday-01,86,1109,13.81,10
1-345,23926233-240429-MULTI-Weekday-01,117,610,13.99,11
1-345,23926235-240429-MULTI-Weekday-01,78,1109,11.7,12
1-345,23926237-240429-MULTI-Weekday-01,109,610,15.086,13
1-345,23926237-240429-MULTI-Weekday-01,109,1129,16.58,14
1-345,23926239-240429-MULTI-Weekday-01,124,1109,14.09,14
1-345,23926241-240429-MULTI-Weekday-01,75,624,16.88,15
1-345,23926242-240429-MULTI-Weekday-01,84,1127,19.19,15
1-345,23926243-240429-MULTI-Weekday-01,77,814,15.61,15
1-345,23926244-240429-MULTI-Weekday-01,77,2220,15.24,16
1-345,23926245-240429-MULTI-Weekday-01,78,1706,17.84,16
1-345,23926246-240429-MULTI-Weekday-01,70,2219,17.12,16
1-345,23926247-240429-MULTI-Weekday-01,97,1118,15.56,17
1-345,23926248-240429-MULTI-Weekday-01,73,1402,16.5,17
1-345,23926249-240429-MULTI-Weekday-01,76,1708,16.42,18
1-345,23926250-240429-MULTI-Weekday-01,100,2210,15.42,18
1-345,23926251-240429-MULTI-Weekday-01,88,624,20.9,18
1-345,23926252-240429-MULTI-Weekday-01,90,1127,20.0,18
1-345,23926253-240429-MULTI-Weekday-01,75,814,21.36,19
1-345,23926254-240429-MULTI-Weekday-01,78,2220,20.81,19
1-345,23926255-240429-MULTI-Weekday-01,132,1108,18.81,20
1-345,23926256-240429-MULTI-Weekday-01,71,2219,20.06,20
1-345,23926257-240429-MULTI-Weekday-01,84,1118,22.88,20
1-345,23926258-240429-MULTI-Weekday-01,76,1402,21.77,20
1-345,23926259-240429-MULTI-Weekday-01,86,608,21.4,21
1-345,23926260-240429-MULTI-Weekday-01,88,624,21.6,21
1-345,23926261-240429-MULTI-Weekday-01,103,814,21.47,22
1-345,23926262-240429-MULTI-Weekday-01,213,2219,17.55,15
1-345,23926263-240429-MULTI-Weekday-01,208,1118,17.02,15
1-345,23926264-240429-MULTI-Weekday-01,201,624,15.63,16
1-345,23926265-240429-MULTI-Weekday-01,198,1402,24.39,16
1-345,23926266-240429-MULTI-Weekday-01,211,1708,16.14,16
1-345,23926267-240429-MULTI-Weekday-01,210,2210,16.6,16
1-345,23926268-240429-MULTI-Weekday-01,206,1127,15.39,17
1-345,23926269-240429-MULTI-Weekday-01,205,814,14.16,17
1-345,23926270-240429-MULTI-Weekday-01,207,2220,16.3,17
1-345,23926271-240429-MULTI-Weekday-01,187,1706,11.625,18
1-345,23926272-240429-MULTI-Weekday-01,216,2219,16.47,18
1-345,23926273-240429-MULTI-Weekday-01,213,1118,17.36,18
1-345,23926274-240429-MULTI-Weekday-01,192,1402,15.78,19
1-345,23926275-240429-MULTI-Weekday-01,213,1708,18.86,19
1-345,23926276-240429-MULTI-Weekday-01,200,608,19.77,20
1-345,23926277-240429-MULTI-Weekday-01,211,1108,21.6,21
1-345,23926278-240429-MULTI-Weekday-01,210,624,18.88,20
1-345,23926279-240429-MULTI-Weekday-01,208,814,19.66,20
1-345,23926280-240429-MULTI-Weekday-01,213,2220,20.6,20
1-345,23926281-240429-MULTI-Weekday-01,206,2219,21.28,21
1-345,23926282-240429-MULTI-Weekday-01,193,1118,20.36,21
1-345,23926284-240429-MULTI-Weekday-01,214,801,12.95,15
