ROUTE_ID,TRIP_ID,AVG_DIR,V_ID,TRIP_SPD,HOUR
1-345,23925487-240429-MULTI-Weekday-01,126,813,18.89,07
1-345,23925488-240429-MULTI-Weekday-01,56,1704,14.22,06
1-345,23925489-240429-MULTI-Weekday-01,215,2210,13.59,06
1-345,23925490-240429-MULTI-Weekday-01,88,1510,14.41,06
1-345,23925491-240429-MULTI-Weekday-01,198,2212,17.45,07
1-345,23925492-240429-MULTI-Weekday-01,78,2212,15.87,05
1-345,23925493-240429-MULTI-Weekday-01,79,1128,22.55,04
1-345,23925494-240429-MULTI-Weekday-01,87,809,27.88,04
1-345,23925495-240429-MULTI-Weekday-01,171,1306,20.3,04
1-345,23925496-240429-MULTI-Weekday-01,95,1126,25.48,04
1-345,23925497-240429-MULTI-Weekday-01,194,1108,24.0,04
1-345,23925498-240429-MULTI-Weekday-01,81,1108,22.73,05
1-345,23925499-240429-MULTI-Weekday-01,73,1306,32.72,04
1-345,23925500-240429-MULTI-Weekday-01,84,1618,18.25,05
1-345,23925501-240429-MULTI-Weekday-01,55,1618,29.53,03
1-345,23925502-240429-MULTI-Weekday-01,195,1618,20.84,04
1-345,23925503-240429-MULTI-Weekday-01,210,833,18.89,04
1-345,23925504-240429-MULTI-Weekday-01,69,833,23.89,03
1-345,23926160-240429-MULTI-Weekday-01,97,1126,18.78,08
1-345,23926161-240429-MULTI-Weekday-01,93,1108,18.38,08
1-345,23926162-240429-MULTI-Weekday-01,72,1618,17.56,08
1-345,23926163-240429-MULTI-Weekday-01,82,807,19.42,08
1-345,23926164-240429-MULTI-Weekday-01,192,1126,14.016,06
1-345,23926165-240429-MULTI-Weekday-01,213,615,18.34,05
1-345,23926166-240429-MULTI-Weekday-01,187,809,18.64,05
1-345,23926167-240429-MULTI-Weekday-01,214,1128,17.67,05
1-345,23926168-240429-MULTI-Weekday-01,213,1515,17.42,07
1-345,23926169-240429-MULTI-Weekday-01,214,809,21.69,08
1-345,23926170-240429-MULTI-Weekday-01,209,807,19.5,07
1-345,23926171-240429-MULTI-Weekday-01,208,1618,17.67,06
1-345,23926172-240429-MULTI-Weekday-01,219,1108,36.16,06
1-345,23926173-240429-MULTI-Weekday-01,69,1128,17.64,07
1-345,23926174-240429-MULTI-Weekday-01,122,1515,14.61,06
1-345,23926175-240429-MULTI-Weekday-01,208,1306,17.98,07
1-345,23926176-240429-MULTI-Weekday-01,93,833,17.0,05
1-345,23926177-240429-MULTI-Weekday-01,113,1306,19.06,06
1-345,23926178-240429-MULTI-Weekday-01,203,1128,26.42,08
1-345,23926179-240429-MULTI-Weekday-01,97,809,19.3,06
1-345,23926180-240429-MULTI-Weekday-01,67,615,16.83,07
1-345,23926181-240429-MULTI-Weekday-01,213,1510,17.27,07
1-345,23926182-240429-MULTI-Weekday-01,216,1704,13.94,07
1-345,23926183-240429-MULTI-Weekday-01,207,813,14.91,08
1-345,23926184-240429-MULTI-Weekday-01,211,611,16.45,08
1-345,23926185-240429-MULTI-Weekday-01,165,2210,13.34,08
1-345,23926186-240429-MULTI-Weekday-01,187,2212,15.09,09
1-345,23926187-240429-MULTI-Weekday-01,92,611,17.4,07
1-345,23926188-240429-MULTI-Weekday-01,101,1704,16.58,08
1-345,23926189-240429-MULTI-Weekday-01,102,2210,16.9,07
1-345,23926190-240429-MULTI-Weekday-01,101,2212,16.7,08
1-345,23926191-240429-MULTI-Weekday-01,83,1510,17.16,08
1-345,23926192-240429-MULTI-Weekday-01,209,615,17.94,08
1-345,23926193-240429-MULTI-Weekday-01,204,807,20.11,10
1-345,23926194-240429-MULTI-Weekday-01,81,813,14.875,09
1-345,23926195-240429-MULTI-Weekday-01,207,1126,22.67,09
1-345,23926196-240429-MULTI-Weekday-01,200,1108,19.03,09
1-345,23926197-240429-MULTI-Weekday-01,204,1306,19.22,10
1-345,23926198-240429-MULTI-Weekday-01,215,809,18.55,11
1-345,23926199-240429-MULTI-Weekday-01,214,615,18.48,11
1-345,23926200-240429-MULTI-Weekday-01,209,1126,20.77,12
1-345,23926201-240429-MULTI-Weekday-01,211,1108,19.67,12
1-345,23926202-240429-MULTI-Weekday-01,203,807,17.5,13
1-345,23926203-240429-MULTI-Weekday-01,211,1306,15.33,14
1-345,23926204-240429-MULTI-Weekday-01,210,809,15.91,14
1-345,23926205-240429-MULTI-Weekday-01,223,615,15.836,14
1-345,23926206-240429-MULTI-Weekday-01,79,1306,18.73,09
1-345,23926207-240429-MULTI-Weekday-01,69,809,15.81,10
1-345,23926208-240429-MULTI-Weekday-01,71,615,18.73,10
1-345,23926209-240429-MULTI-Weekday-01,72,1126,16.42,10
