ROUTE_ID,TRIP_ID,AVG_DIR,V_ID,TRIP_SPD,HOUR
1-345,23932827-240429-MULTI-Saturday-01,185,1122,23.72,00
1-345,23932828-240429-MULTI-Saturday-01,199,624,25.53,00
1-345,23932830-240429-MULTI-Saturday-01,100,624,31.92,01
1-345,23932831-240429-MULTI-Saturday-01,224,1104,30.77,01
1-345,23932832-240429-MULTI-Saturday-01,219,1303,39.34,02
1-345,23932835-240429-MULTI-Saturday-01,103,1104,28.81,00
1-345,23932837-240429-MULTI-Saturday-01,86,624,32.9,00
1-345,23932838-240429-MULTI-Saturday-01,60,1306,23.53,00
1-345,23932839-240429-MULTI-Saturday-01,63,1122,38.2,01
1-345,23932840-240429-MULTI-Saturday-01,90,1303,27.38,00
1-345,23932853-240429-MULTI-Saturday-01,212,1104,19.45,00
1-345,23932854-240429-MULTI-Saturday-01,209,1303,22.28,00
11-345,23932142-240429-MULTI-Saturday-01,131,2217,28.38,00
11-345,23932145-240429-MULTI-Saturday-01,104,1116,26.25,00
11-345,23932146-240429-MULTI-Saturday-01,225,1116,27.12,01
11-345,23932147-240429-MULTI-Saturday-01,209,616,22.06,00
11-345,23932149-240429-MULTI-Saturday-01,229,2217,22.48,00
11-345,23933669-240429-MULTI-Saturday-01,102,1408,28.58,00
115-345,23932209-240429-MULTI-Saturday-01,227,822,32.88,00
14-345,23931836-240429-MULTI-Saturday-01,135,805,43.25,00
14-345,23931837-240429-MULTI-Saturday-01,266,2212,27.7,00
14-345,23944498-240429-MULTI-Saturday-01,274,802,25.5,00
14-345,23944539-240429-MULTI-Saturday-01,190,2212,30.61,00
14-345,23944584-240429-MULTI-Saturday-01,214,805,21.27,00
15-345,23931096-240429-MULTI-Saturday-01,215,1213,21.2,00
15-345,23931135-240429-MULTI-Saturday-01,155,1783,19.44,00
15-345,23931155-240429-MULTI-Saturday-01,245,1480,26.52,00
15-345,23931156-240429-MULTI-Saturday-01,217,1783,23.98,01
15-345,23931160-240429-MULTI-Saturday-01,175,1775,18.72,00
15-345,23944712-240429-MULTI-Saturday-01,308,1783,18.34,00
15-345,23944714-240429-MULTI-Saturday-01,237,1775,24.6,00
15-345,23944764-240429-MULTI-Saturday-01,222,1213,15.2,00
15-345,23944765-240429-MULTI-Saturday-01,173,2079,19.27,00
15-345,23944766-240429-MULTI-Saturday-01,146,1480,18.62,00
15-345,23944809-240429-MULTI-Saturday-01,247,2079,23.97,00
18-345,23933509-240429-MULTI-Saturday-01,311,1405,23.7,00
18-345,23933513-240429-MULTI-Saturday-01,152,1405,25.6,00
18-345,23933514-240429-MULTI-Saturday-01,274,1511,23.47,00
18-345,23933515-240429-MULTI-Saturday-01,308,2224,27.02,00
18-345,23933516-240429-MULTI-Saturday-01,158,1708,32.97,00
18-345,23933517-240429-MULTI-Saturday-01,140,2224,24.12,00
18-345,23933518-240429-MULTI-Saturday-01,278,1708,24.53,00
18-345,23933519-240429-MULTI-Saturday-01,268,1405,32.4,01
18-345,23933520-240429-MULTI-Saturday-01,120,1511,31.98,00
18-345,23933521-240429-MULTI-Saturday-01,108,1405,29.4,01
