time,time_2_comp
05-02-2024 08:32:31,1.44
05-02-2024 08:32:48,0.94
05-02-2024 08:33:04,1.11
05-02-2024 08:33:20,1.09
05-02-2024 08:33:36,0.94
05-02-2024 08:33:52,7.17
05-02-2024 08:34:15,10.45
05-02-2024 08:34:41,0.93
05-02-2024 08:34:57,1.02
05-02-2024 08:35:13,1.07
05-02-2024 08:35:29,1.11
05-02-2024 08:35:45,1.07
05-02-2024 08:36:01,1.02
05-02-2024 08:36:17,1.23
05-02-2024 08:36:34,1.05
05-02-2024 08:36:50,1.03
05-02-2024 08:37:06,1.05
05-02-2024 08:37:22,1.2
05-02-2024 08:37:38,1.3
05-02-2024 08:37:54,1.03
05-02-2024 08:38:10,0.94
05-02-2024 08:38:26,1.36
05-02-2024 08:38:43,1.06
05-02-2024 08:38:59,1.07
05-02-2024 08:39:15,1.08
05-02-2024 08:39:31,1.32
05-02-2024 08:39:47,3.07
05-02-2024 08:40:06,1.13
05-02-2024 08:40:22,0.98
05-02-2024 08:40:38,1.45
05-02-2024 08:40:54,1.11
05-02-2024 08:41:13,1.05
05-02-2024 08:41:29,1.05
05-02-2024 08:41:45,1.49
05-02-2024 08:42:02,0.96
05-02-2024 08:42:18,1.11
05-02-2024 08:42:34,1.08
05-02-2024 08:42:50,1.47
05-02-2024 08:43:06,1.13
05-02-2024 08:43:22,1.03
05-02-2024 08:43:39,1.53
05-02-2024 08:43:55,0.96
05-02-2024 08:44:11,1.14
05-02-2024 08:44:27,1.01
05-02-2024 08:44:43,1.11
05-02-2024 08:44:59,1.4
05-02-2024 08:45:16,0.98
05-02-2024 08:45:32,1.1
05-02-2024 08:45:48,1.03
05-02-2024 08:46:04,3.65
05-02-2024 08:46:23,0.97
05-02-2024 08:46:39,1.06
05-02-2024 08:46:55,1.44
05-02-2024 08:47:11,0.98
05-02-2024 08:47:27,1.1
05-02-2024 08:47:43,0.96
05-02-2024 08:47:59,1.31
05-02-2024 08:48:16,1.01
05-02-2024 08:48:32,0.93
05-02-2024 08:48:48,1.04
05-02-2024 08:49:04,1.26
05-02-2024 08:49:20,1.01
05-02-2024 08:49:36,1.99
05-02-2024 08:49:53,1.11
05-02-2024 08:50:09,1.39
05-02-2024 08:50:26,1.1
05-02-2024 08:50:42,0.91
05-02-2024 08:50:58,1.11
05-02-2024 08:51:14,0.94
05-02-2024 08:51:30,1.34
05-02-2024 08:51:46,1.04
05-02-2024 08:52:03,1.06
05-02-2024 08:52:19,1.04
05-02-2024 08:52:35,1.4
05-02-2024 08:52:51,1.03
05-02-2024 08:53:07,0.95
05-02-2024 08:53:23,1.21
05-02-2024 08:53:39,1.3
05-02-2024 08:53:56,1.14
05-02-2024 08:54:12,1.11
05-02-2024 08:54:28,0.99
05-02-2024 08:54:44,1.39
05-02-2024 08:55:01,1.04
05-02-2024 08:55:17,1.27
05-02-2024 08:55:33,1.03
05-02-2024 08:55:49,1.48
05-02-2024 08:56:06,0.99
05-02-2024 08:56:22,1.03
05-02-2024 08:56:38,1.11
05-02-2024 08:56:54,1.42
05-02-2024 08:57:10,1.15
05-02-2024 08:57:26,0.94
05-02-2024 08:57:42,1.0
05-02-2024 08:57:58,1.42
05-02-2024 08:58:15,0.96
05-02-2024 08:58:31,1.12
05-02-2024 08:58:47,1.09
05-02-2024 08:59:03,1.36
05-02-2024 08:59:20,1.12
05-02-2024 08:59:36,0.97
05-02-2024 08:59:52,1.08
05-02-2024 09:00:08,1.31
05-02-2024 09:00:24,1.01
05-02-2024 09:00:40,1.03
05-02-2024 09:00:56,1.12
05-02-2024 09:01:12,1.35
05-02-2024 09:01:29,1.0
05-02-2024 09:01:45,1.08
05-02-2024 09:02:01,0.99
05-02-2024 09:02:17,1.3
05-02-2024 09:02:33,1.07
05-02-2024 09:02:49,1.07
05-02-2024 09:03:05,1.11
05-02-2024 09:03:22,1.36
05-02-2024 09:03:38,1.14
05-02-2024 09:03:54,1.24
05-02-2024 09:04:10,1.06
