time,time_2_comp
08-02-2024 03:47:21,0.56
08-02-2024 03:47:36,0.49
08-02-2024 03:47:52,0.48
08-02-2024 03:48:07,0.46
08-02-2024 03:48:23,0.49
08-02-2024 03:48:38,0.51
08-02-2024 03:48:54,0.53
08-02-2024 03:49:09,0.45
08-02-2024 03:49:25,0.53
08-02-2024 03:49:41,0.58
08-02-2024 03:49:56,0.48
08-02-2024 03:50:12,0.51
08-02-2024 03:50:27,0.49
08-02-2024 03:50:43,0.51
08-02-2024 03:50:58,0.54
08-02-2024 03:51:14,0.47
08-02-2024 03:51:29,0.49
08-02-2024 03:51:45,0.5
08-02-2024 03:52:00,0.51
08-02-2024 03:52:16,0.49
08-02-2024 03:52:31,0.51
08-02-2024 03:52:47,0.51
08-02-2024 03:53:02,0.5
08-02-2024 03:53:18,0.49
08-02-2024 03:53:33,0.46
08-02-2024 03:53:49,0.52
08-02-2024 03:54:05,0.51
08-02-2024 03:54:20,0.57
08-02-2024 03:54:36,0.54
08-02-2024 03:54:51,0.52
08-02-2024 03:55:07,0.46
08-02-2024 03:55:22,0.52
08-02-2024 03:55:38,0.62
08-02-2024 03:55:53,0.64
08-02-2024 03:56:09,0.5
08-02-2024 03:56:25,0.55
08-02-2024 03:56:40,0.57
08-02-2024 03:56:56,0.51
08-02-2024 03:57:11,0.51
08-02-2024 03:57:27,0.47
08-02-2024 03:57:42,0.51
08-02-2024 03:57:58,0.53
08-02-2024 03:58:14,0.52
08-02-2024 03:58:29,0.56
08-02-2024 03:58:45,0.58
08-02-2024 03:59:00,0.48
08-02-2024 03:59:16,0.45
08-02-2024 03:59:31,0.57
08-02-2024 03:59:47,0.59
08-02-2024 04:00:02,0.52
08-02-2024 04:00:18,0.62
08-02-2024 04:00:34,0.56
08-02-2024 04:00:49,0.46
08-02-2024 04:01:05,0.59
08-02-2024 04:01:20,0.57
08-02-2024 04:01:36,0.52
08-02-2024 04:01:51,0.58
08-02-2024 04:02:07,0.48
08-02-2024 04:02:23,0.6
08-02-2024 04:02:38,0.52
08-02-2024 04:02:54,0.54
08-02-2024 04:03:09,0.64
08-02-2024 04:03:25,0.55
08-02-2024 04:03:41,0.53
08-02-2024 04:03:56,0.5
08-02-2024 04:04:12,0.48
08-02-2024 04:04:27,0.5
08-02-2024 04:04:43,0.46
08-02-2024 04:04:58,0.52
08-02-2024 04:05:14,0.51
08-02-2024 04:05:29,0.5
08-02-2024 04:05:45,0.45
08-02-2024 04:06:00,0.43
08-02-2024 04:06:16,0.53
08-02-2024 04:06:31,0.52
08-02-2024 04:06:47,0.5
08-02-2024 04:07:02,0.46
08-02-2024 04:07:18,0.47
08-02-2024 04:07:33,0.48
08-02-2024 04:07:49,0.45
08-02-2024 04:08:04,0.5
08-02-2024 04:08:20,0.43
08-02-2024 04:08:35,0.6
08-02-2024 04:08:51,0.46
08-02-2024 04:09:06,0.5
08-02-2024 04:09:22,0.48
08-02-2024 04:09:37,0.53
08-02-2024 04:09:53,0.44
