time,time_2_comp
06-02-2024 03:52:45,0.57
06-02-2024 03:53:01,0.49
06-02-2024 03:53:16,0.6
06-02-2024 03:53:32,0.48
06-02-2024 03:53:47,0.58
06-02-2024 03:54:03,0.57
06-02-2024 03:54:19,0.47
06-02-2024 03:54:34,0.61
06-02-2024 03:54:50,0.56
06-02-2024 03:55:05,0.55
06-02-2024 03:55:21,0.52
06-02-2024 03:55:36,0.53
06-02-2024 03:55:52,0.51
06-02-2024 03:56:08,0.58
06-02-2024 03:56:23,0.52
06-02-2024 03:56:39,0.6
06-02-2024 03:56:54,0.63
06-02-2024 03:57:10,0.57
06-02-2024 03:57:26,0.63
06-02-2024 03:57:41,0.56
06-02-2024 03:57:57,0.53
06-02-2024 03:58:12,0.57
06-02-2024 03:58:28,0.52
06-02-2024 03:58:44,0.5
06-02-2024 03:58:59,0.52
06-02-2024 03:59:15,0.58
06-02-2024 03:59:30,0.49
06-02-2024 03:59:46,0.52
06-02-2024 04:00:01,0.57
06-02-2024 04:00:17,0.6
06-02-2024 04:00:33,0.47
06-02-2024 04:00:48,0.54
06-02-2024 04:01:04,0.51
06-02-2024 04:01:19,0.49
06-02-2024 04:01:35,0.57
06-02-2024 04:01:50,0.62
06-02-2024 04:02:06,0.52
06-02-2024 04:02:22,0.53
06-02-2024 04:02:37,0.57
06-02-2024 04:02:53,0.57
06-02-2024 04:03:08,0.53
06-02-2024 04:03:24,0.45
06-02-2024 04:03:39,0.45
06-02-2024 04:03:55,0.63
06-02-2024 04:04:10,0.58
06-02-2024 04:04:26,0.46
06-02-2024 04:04:42,0.5
06-02-2024 04:04:57,0.6
06-02-2024 04:05:13,0.54
06-02-2024 04:05:28,0.53
06-02-2024 04:05:44,0.52
06-02-2024 04:05:59,0.48
06-02-2024 04:06:15,0.53
06-02-2024 04:06:30,0.47
06-02-2024 04:06:46,0.52
06-02-2024 04:07:02,0.59
06-02-2024 04:07:17,0.6
06-02-2024 04:07:33,0.59
06-02-2024 04:07:48,0.58
06-02-2024 04:08:04,0.46
06-02-2024 04:08:20,0.54
06-02-2024 04:08:35,0.53
06-02-2024 04:08:51,0.56
06-02-2024 04:09:06,0.63
06-02-2024 04:09:22,0.56
06-02-2024 04:09:37,0.5
06-02-2024 04:09:53,0.5
06-02-2024 04:10:09,0.47
06-02-2024 04:10:24,0.59
06-02-2024 04:10:40,0.67
06-02-2024 04:10:55,0.51
06-02-2024 04:11:11,0.52
06-02-2024 04:11:26,0.51
06-02-2024 04:11:42,0.56
06-02-2024 04:11:58,0.54
06-02-2024 04:12:13,0.57
06-02-2024 04:12:29,0.58
06-02-2024 04:12:44,0.6
06-02-2024 04:13:00,0.49
06-02-2024 04:13:16,0.59
06-02-2024 04:13:31,0.54
06-02-2024 04:13:47,0.6
06-02-2024 04:14:02,0.49
06-02-2024 04:14:18,0.54
06-02-2024 04:14:33,0.62
06-02-2024 04:14:49,0.57
06-02-2024 04:15:05,0.54
06-02-2024 04:15:20,0.57
06-02-2024 04:15:36,0.6
06-02-2024 04:15:52,0.61
06-02-2024 04:16:07,0.48
06-02-2024 04:16:23,0.45
06-02-2024 04:16:38,0.45
06-02-2024 04:16:54,0.52
06-02-2024 04:17:09,0.55
06-02-2024 04:17:25,0.52
06-02-2024 04:17:40,0.6
06-02-2024 04:17:56,0.51
06-02-2024 04:18:11,0.56
06-02-2024 04:18:27,0.61
06-02-2024 04:18:43,0.58
06-02-2024 04:18:58,0.63
06-02-2024 04:19:14,0.59
06-02-2024 04:19:30,0.62
06-02-2024 04:19:45,0.54
06-02-2024 04:20:01,0.57
06-02-2024 04:20:16,0.64
06-02-2024 04:20:32,0.68
06-02-2024 04:20:48,0.57
06-02-2024 04:21:03,0.71
06-02-2024 04:21:19,0.55
06-02-2024 04:21:35,0.5
06-02-2024 04:21:50,0.7
06-02-2024 04:22:06,0.55
06-02-2024 04:22:22,0.59
06-02-2024 04:22:37,0.53
06-02-2024 04:22:53,1.96
06-02-2024 04:23:10,0.56
06-02-2024 04:23:25,0.52
06-02-2024 04:23:41,0.64
06-02-2024 04:23:57,0.66
06-02-2024 04:24:12,0.56
06-02-2024 04:24:28,0.62
06-02-2024 04:24:44,0.66
06-02-2024 04:24:59,0.58
