RT_NM,STP_NM,RT_STP_NUM,RT_NUM_STPS,RT_LINK,RT_DIR,RT_GRP,RT_NUM
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at Kipling Ave,23,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at Islington Ave,24,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Helen Station,25,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Pine Valley Station,26,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Ansley Grove Station,27,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Weston Station,28,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Commerce Station,29,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Hwy 7 at (EB) Vaughan Metropolitan Centre Station,30,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop,Smart VMC Terminal - Route 501 Zum Queen WB,31,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-eastbound-hwy-7-at-eb-vaughan-metrop/1#trips,East,zum-queen,510
501-zum-queen-westbound-downtown-terminal-zum-quee,Smart VMC Terminal - Route 501 Zum Queen WB,1,31,https://www.triplinx.ca/en/route-schedules/6/RouteSchedules/zum-queen/510/501-zum-queen-westbound-downtown-terminal-zum-quee/2#trips,West,zum-queen,510
